"10012る 8046 玭筿             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"100/12/01","3,373,059","236,453,394","70.00","71.00","69.50","69.50","+1.40","1,851",
"100/12/02","2,933,113","201,491,179","69.50","70.00","67.80","68.50","-1.00","1,329",
"100/12/05","2,387,210","164,341,484","68.50","69.50","68.30","68.50"," 0.00","1,144",
"100/12/06","1,654,427","113,335,047","68.50","69.00","68.10","68.40","-0.10","665",
"100/12/07","2,373,317","160,253,414","68.60","69.20","66.70","68.00","-0.40","1,262",
"100/12/08","1,246,220","82,781,171","68.00","68.00","65.80","66.50","-1.50","826",
"100/12/09","2,945,536","186,880,432","64.20","64.80","62.40","63.00","-3.50","1,658",
"100/12/12","2,832,054","178,699,914","64.00","64.30","62.40","63.70","+0.70","1,131",
"100/12/13","1,949,990","122,707,627","63.00","63.60","62.50","63.20","-0.50","828",
"100/12/14","2,110,345","130,115,190","63.50","63.50","60.50","61.60","-1.60","1,226",
"100/12/15","2,192,001","131,026,553","60.50","61.30","59.00","59.00","-2.60","1,481",
"100/12/16","2,452,296","147,226,971","59.50","61.30","58.70","60.40","+1.40","1,382",
"100/12/19","1,998,426","120,850,060","60.40","61.60","59.60","59.60","-0.80","1,073",
"100/12/20","1,265,955","75,824,210","60.10","60.60","59.20","59.50","-0.10","749",
"100/12/21","2,517,135","156,852,773","62.10","62.90","61.60","62.80","+3.30","1,361",
"100/12/22","1,786,039","110,718,820","62.80","62.80","61.50","62.00","-0.80","1,031",
"100/12/23","2,813,040","178,111,520","62.80","63.90","62.50","63.10","+1.10","1,507",
"100/12/26","1,772,928","109,753,133","62.90","62.90","61.20","61.20","-1.90","901",
"100/12/27","3,126,260","193,624,493","61.20","62.60","61.20","61.40","+0.20","1,851",
"100/12/28","1,186,919","72,412,259","60.80","61.80","60.70","60.80","-0.60","678",
"100/12/29","726,361","44,384,772","60.80","61.70","60.40","61.70","+0.90","525",
"100/12/30","1,122,205","69,345,446","62.50","62.50","61.30","61.50","-0.20","729",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

