"9504る 8078 地腳             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 95/04/03","5,663,095","1,174,530,355","208.50","210.00","204.50","210.00"," 0.00","3,054",
" 95/04/04","6,952,820","1,485,614,928","213.00","217.00","210.00","211.50","+1.50","3,814",
" 95/04/06","4,026,376","909,960,976","226.00","226.00","226.00","226.00","+14.50","1,378",
" 95/04/07","10,108,067","2,328,425,745","231.00","236.00","226.50","236.00","+10.00","4,677",
" 95/04/10","4,042,190","930,369,200","229.00","233.00","229.00","230.00","-6.00","2,023",
" 95/04/11","3,058,425","695,642,825","230.00","231.50","225.50","229.00","-1.00","1,583",
" 95/04/12","5,000,712","1,169,365,880","225.50","240.00","225.00","240.00","+11.00","2,503",
" 95/04/13","6,131,846","1,459,644,156","243.00","243.00","233.00","236.00","-4.00","3,329",
" 95/04/14","7,602,800","1,843,689,000","239.00","246.00","237.00","240.00","+4.00","3,991",
" 95/04/17","4,204,524","1,000,936,616","244.00","244.50","235.00","235.00","-5.00","2,342",
" 95/04/18","5,926,429","1,380,227,886","232.00","237.00","229.50","235.00"," 0.00","3,181",
" 95/04/19","7,922,669","1,826,103,532","233.00","237.00","225.00","229.00","-6.00","4,186",
" 95/04/20","12,511,276","2,951,256,099","231.00","239.50","226.50","239.50","+10.50","5,708",
" 95/04/21","6,378,494","1,517,518,572","241.00","241.00","235.00","239.00","-0.50","2,903",
" 95/04/24","6,556,447","1,551,310,651","239.00","240.50","233.00","233.00","-6.00","3,555",
" 95/04/25","4,110,385","957,834,590","236.00","237.50","228.00","233.50","+0.50","2,336",
" 95/04/26","8,714,100","1,954,974,200","229.00","231.00","219.50","231.00","-2.50","4,311",
" 95/04/27","6,868,150","1,550,848,000","232.50","235.00","220.00","220.00","-11.00","3,781",
" 95/04/28","4,414,100","986,282,900","222.00","225.50","220.00","224.00","+4.00","2,548",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

