"10309る 8150 玭璟             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"103/09/01","732,430","28,813,547","39.65","39.65","39.20","39.30","-0.30","431",
"103/09/02","620,025","24,084,200","39.35","39.35","38.60","39.00","-0.30","473",
"103/09/03","283,000","11,008,550","38.70","39.05","38.70","38.80","-0.20","175",
"103/09/04","467,000","18,161,400","38.80","39.00","38.70","39.00","+0.20","271",
"103/09/05","631,200","24,533,679","39.05","39.20","38.60","38.60","-0.40","303",
"103/09/09","922,793","35,973,578","38.80","39.35","38.65","38.80","+0.20","422",
"103/09/10","515,000","19,890,150","38.80","38.90","38.50","38.60","-0.20","259",
"103/09/11","432,000","16,693,150","38.90","38.90","38.50","38.60"," 0.00","278",
"103/09/12","616,000","23,432,400","38.50","38.55","37.90","37.90","-0.70","322",
"103/09/15","498,584","18,699,854","37.80","37.90","37.35","37.40","-0.50","333",
"103/09/16","427,500","16,009,350","37.70","37.80","37.30","37.50","+0.10","254",
"103/09/17","856,500","32,481,875","37.80","38.20","37.55","37.75","+0.25","541",
"103/09/18","2,514,837","98,552,011","37.75","39.70","37.75","39.70","+1.95","1,058",
"103/09/19","4,896,631","196,355,671","39.85","41.00","39.45","41.00","+1.30","1,935",
"103/09/22","2,654,175","107,136,327","40.70","40.70","40.00","40.50","-0.50","1,309",
"103/09/23","2,571,100","103,027,289","40.25","40.60","39.20","39.20","-1.30","1,164",
"103/09/24","1,954,600","76,388,850","39.25","39.45","38.85","39.00","-0.20","943",
"103/09/25","1,693,303","65,704,295","39.10","39.35","38.35","38.40","-0.60","873",
"103/09/26","833,000","31,656,000","38.00","38.25","37.80","38.05","-0.35","517",
"103/09/29","525,060","20,081,445","38.35","38.40","38.10","38.20","+0.15","286",
"103/09/30","2,333,878","90,073,210","38.25","39.40","38.00","39.30","+1.10","1,080",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

