"10312る 8454 碔ü碈           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"103/12/19","10,040,351","2,938,834,439","290.50","299.00","283.00","283.00","X0.00","7,326",
"103/12/22","4,023,782","1,194,073,978","289.00","303.00","289.00","303.00","+20.00","3,075",
"103/12/23","3,478,242","1,111,136,010","308.00","330.00","306.00","326.00","+23.00","2,722",
"103/12/24","1,660,325","540,979,950","326.00","330.50","319.00","324.50","-1.50","1,406",
"103/12/25","1,201,704","389,246,484","326.00","328.00","319.50","319.50","-5.00","986",
"103/12/26","2,117,334","699,518,222","322.00","337.00","322.00","332.50","+13.00","1,774",
"103/12/27","1,396,273","468,498,415","335.00","338.50","328.00","338.00","+5.50","1,117",
"103/12/29","1,383,093","470,783,120","341.50","344.00","336.00","338.00"," 0.00","1,062",
"103/12/30","923,923","315,204,512","342.00","344.00","339.00","339.50","+1.50","775",
"103/12/31","926,560","310,126,100","339.50","339.50","331.00","335.50","-4.00","751",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

