"107年04月 8454 富邦媒           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/04/02","65,183","17,634,142","273.00","273.00","269.00","271.50","+0.50","65",
"107/04/03","71,000","19,341,500","272.00","278.00","269.00","277.50","+6.00","70",
"107/04/09","183,002","50,481,054","279.00","282.00","274.00","276.50","-1.00","170",
"107/04/10","165,050","46,155,124","279.00","281.50","276.00","280.00","+3.50","159",
"107/04/11","564,578","162,338,752","282.00","292.50","282.00","287.00","+7.00","441",
"107/04/12","153,097","43,534,548","293.50","293.50","280.00","280.00","-7.00","149",
"107/04/13","138,047","38,265,801","280.00","281.50","275.00","276.50","-3.50","129",
"107/04/16","111,005","30,287,885","277.50","277.50","271.50","271.50","-5.00","108",
"107/04/17","170,000","45,727,500","274.00","274.00","267.00","267.50","-4.00","159",
"107/04/18","123,000","32,602,500","269.50","269.50","262.50","262.50","-5.00","113",
"107/04/19","176,218","45,826,334","264.50","264.50","258.50","260.50","-2.00","159",
"107/04/20","134,162","35,167,525","260.50","264.50","260.50","262.00","+1.50","130",
"107/04/23","156,147","40,652,836","266.00","266.00","258.50","259.50","-2.50","158",
"107/04/24","281,031","72,656,835","259.50","262.00","255.00","261.50","+2.00","261",
"107/04/25","187,100","47,975,800","262.00","262.50","253.00","255.50","-6.00","175",
"107/04/26","180,250","45,563,250","257.50","257.50","249.00","250.00","-5.50","172",
"107/04/27","134,200","33,522,400","250.50","252.00","248.00","250.50","+0.50","130",
"107/04/30","111,040","27,453,000","250.50","251.00","246.00","246.50","-4.00","104",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

