"10501る 8464 货伦             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"105/01/04","3,294,422","715,740,828","223.00","223.50","211.00","212.00","-14.00","1,997",
"105/01/05","4,756,549","1,028,288,584","208.50","222.00","205.00","217.50","+5.50","2,811",
"105/01/06","2,432,731","525,849,165","217.50","220.50","210.50","215.00","-2.50","1,552",
"105/01/07","3,902,383","814,823,617","211.00","216.50","201.00","212.00","-3.00","2,184",
"105/01/08","1,740,696","368,084,552","210.50","214.00","207.50","212.00"," 0.00","1,032",
"105/01/11","1,555,939","325,044,751","208.50","211.50","205.50","210.00","-2.00","1,166",
"105/01/12","2,483,992","510,360,892","212.00","215.00","198.00","200.00","-10.00","1,601",
"105/01/13","1,690,765","346,330,971","203.50","207.00","200.00","206.50","+6.50","1,153",
"105/01/14","1,527,405","308,676,416","199.50","206.00","198.00","203.00","-3.50","1,052",
"105/01/15","1,351,448","278,264,114","206.50","209.50","203.50","204.50","+1.50","871",
"105/01/18","953,700","195,592,249","200.00","207.50","200.00","207.00","+2.50","697",
"105/01/19","2,847,147","613,157,899","207.00","219.50","205.50","219.00","+12.00","1,976",
"105/01/20","3,024,196","666,781,733","217.00","226.00","216.50","217.00","-2.00","2,081",
"105/01/21","1,217,890","263,081,850","219.00","220.00","211.50","215.00","-2.00","812",
"105/01/22","1,124,870","242,185,050","218.00","219.50","212.50","215.00"," 0.00","793",
"105/01/25","1,567,761","340,993,778","216.50","219.50","214.00","218.00","+3.00","1,083",
"105/01/26","1,076,260","234,443,920","216.00","219.00","215.00","218.00"," 0.00","648",
"105/01/27","1,488,188","323,221,296","219.00","220.00","214.50","216.50","-1.50","955",
"105/01/28","2,425,405","535,138,315","215.50","224.00","215.00","224.00","+7.50","1,540",
"105/01/29","1,894,191","422,736,306","225.00","225.00","219.50","223.00","-1.00","1,530",
"105/01/30","3,091,733","711,901,722","224.50","234.00","221.50","231.00","+8.00","1,977",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

