"106年11月 8464 億豐             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/11/01","212,175","66,118,862","313.00","315.00","310.00","310.50","-3.50","201",
"106/11/02","268,700","83,394,600","313.50","315.00","308.50","310.00","-0.50","265",
"106/11/03","149,463","46,679,112","312.00","316.00","308.50","316.00","+6.00","138",
"106/11/06","368,210","114,434,360","316.00","316.00","309.50","310.00","-6.00","274",
"106/11/07","2,797,288","821,816,524","308.00","311.00","281.00","292.00","-18.00","2,310",
"106/11/08","837,379","244,322,990","292.00","296.00","284.00","293.00","+1.00","689",
"106/11/09","711,984","217,064,912","294.00","310.00","294.00","304.00","+11.00","651",
"106/11/10","184,278","55,949,928","307.00","307.00","300.00","304.00"," 0.00","155",
"106/11/13","294,005","89,458,062","303.00","311.50","296.50","307.50","+3.50","281",
"106/11/14","387,500","116,922,501","310.00","310.00","297.00","300.50","-7.00","280",
"106/11/15","375,109","114,371,516","300.50","310.50","296.50","308.00","+7.50","313",
"106/11/16","361,030","109,147,180","305.00","305.50","300.50","302.00","-6.00","327",
"106/11/17","1,720,291","485,981,995","278.00","287.50","278.00","282.50","-19.50","1,448",
"106/11/20","793,175","221,489,850","284.00","286.00","275.50","276.00","-6.50","685",
"106/11/21","681,995","191,444,981","280.00","283.00","276.00","281.00","+5.00","586",
"106/11/22","850,303","245,172,264","284.00","292.00","281.00","290.00","+9.00","735",
"106/11/23","778,723","218,612,501","290.00","290.00","279.00","282.50","-7.50","586",
"106/11/24","650,020","182,301,720","281.00","282.50","279.00","282.50"," 0.00","466",
"106/11/27","413,015","115,594,230","282.00","283.00","278.50","278.50","-4.00","319",
"106/11/28","328,100","90,740,600","278.50","280.50","274.50","276.50","-2.00","278",
"106/11/29","287,805","80,678,315","277.50","282.50","277.50","280.50","+4.00","258",
"106/11/30","391,537","108,041,460","280.50","280.50","275.00","275.00","-5.50","211",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

