"9805る 9904 腳Θ             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 98/05/04","33,800,589","699,988,726","20.00","21.00","20.00","21.00","+1.35","4,554",
" 98/05/05","48,138,271","1,015,234,545","21.50","21.60","20.30","20.75","-0.25","9,927",
" 98/05/06","48,854,870","1,056,396,053","20.70","22.20","20.60","22.20","+1.45","9,879",
" 98/05/07","43,372,713","974,826,892","22.50","23.20","21.50","21.85","-0.35","9,129",
" 98/05/08","15,806,650","343,533,398","21.55","22.10","21.30","21.85"," 0.00","3,681",
" 98/05/11","24,702,885","535,612,241","21.70","22.30","21.30","21.30","-0.55","5,969",
" 98/05/12","21,559,492","444,630,675","21.00","21.10","20.20","20.75","-0.55","5,042",
" 98/05/13","21,936,348","458,831,784","20.80","21.30","20.70","20.70","-0.05","5,167",
" 98/05/14","19,259,081","388,378,394","20.20","20.40","20.05","20.10","-0.60","5,179",
" 98/05/15","14,040,512","287,013,849","20.40","20.60","20.20","20.45","+0.35","3,476",
" 98/05/18","15,636,657","320,072,579","20.20","20.75","20.15","20.45"," 0.00","3,618",
" 98/05/19","26,079,606","547,452,800","20.90","21.25","20.65","20.65","+0.20","6,115",
" 98/05/20","18,972,047","399,226,587","20.85","21.30","20.60","21.00","+0.35","4,078",
" 98/05/21","14,307,590","297,572,497","21.00","21.10","20.45","20.75","-0.25","3,558",
" 98/05/22","14,512,829","299,099,269","20.55","20.80","20.45","20.55","-0.20","3,452",
" 98/05/25","32,053,622","675,566,294","20.80","21.60","20.50","21.05","+0.50","6,974",
" 98/05/26","28,638,686","610,874,453","21.15","21.80","20.85","20.90","-0.15","5,871",
" 98/05/27","22,739,593","486,620,958","21.20","21.60","21.10","21.40","+0.50","4,764",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

