"106年01月 9904 寶成             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/01/03","1,536,089","61,992,769","40.10","40.50","40.00","40.35","+0.15","881",
"106/01/04","3,439,274","140,292,515","40.45","40.90","40.35","40.85","+0.50","1,966",
"106/01/05","4,403,331","180,290,249","40.80","41.10","40.70","41.00","+0.15","2,463",
"106/01/06","4,004,528","164,436,165","41.00","41.15","40.95","41.15","+0.15","1,960",
"106/01/09","10,179,006","405,855,131","41.00","41.00","39.50","39.50","-1.65","5,256",
"106/01/10","7,863,337","310,045,534","38.70","40.00","38.65","39.80","+0.30","3,624",
"106/01/11","4,805,552","192,215,512","40.00","40.15","39.80","40.05","+0.25","3,144",
"106/01/12","4,901,325","195,919,256","40.05","40.25","39.75","39.75","-0.30","2,464",
"106/01/13","3,120,669","125,116,260","40.00","40.20","39.80","40.20","+0.45","1,863",
"106/01/16","3,288,707","130,348,184","40.00","40.05","39.45","39.95","-0.25","1,839",
"106/01/17","1,849,753","73,952,638","39.95","40.10","39.80","40.10","+0.15","1,308",
"106/01/18","2,668,611","106,329,647","40.10","40.10","39.75","39.90","-0.20","1,203",
"106/01/19","5,172,475","203,862,333","39.80","39.80","39.30","39.35","-0.55","3,299",
"106/01/20","4,829,972","190,216,589","39.15","39.65","39.15","39.35"," 0.00","2,599",
"106/01/23","5,253,647","208,905,095","39.60","39.85","39.50","39.85","+0.50","2,992",
"106/01/24","4,535,069","179,582,823","39.80","39.85","39.30","39.55","-0.30","2,278",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

