"9210る 9907 参龟           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 92/10/01","2,798,529","25,441,674","9.10","9.20","9.00","9.05","-0.05","559",
" 92/10/02","2,585,907","23,623,713","9.20","9.20","9.05","9.10","+0.05","494",
" 92/10/03","2,747,093","25,134,832","9.15","9.20","9.10","9.15","+0.05","468",
" 92/10/06","14,346,285","135,928,687","9.25","9.60","9.20","9.60","+0.45","2,176",
" 92/10/07","9,636,507","92,155,873","9.65","9.65","9.45","9.45","-0.15","1,209",
" 92/10/08","12,728,050","121,832,359","9.50","9.70","9.40","9.50","+0.05","1,593",
" 92/10/09","18,360,904","179,084,784","9.65","9.90","9.60","9.75","+0.25","2,335",
" 92/10/13","23,642,029","236,786,117","9.85","10.15","9.80","10.05","+0.30","2,616",
" 92/10/14","16,150,570","161,307,513","10.15","10.20","9.80","9.85","-0.20","1,751",
" 92/10/15","24,384,253","246,770,664","10.00","10.30","9.85","10.00","+0.15","3,042",
" 92/10/16","22,418,100","229,976,380","10.15","10.40","10.10","10.15","+0.15","3,149",
" 92/10/17","10,068,136","100,813,206","10.25","10.25","9.90","9.90","-0.25","1,510",
" 92/10/20","7,344,109","73,312,704","9.90","10.10","9.90","9.90"," 0.00","1,182",
" 92/10/21","10,656,110","106,073,260","9.95","10.10","9.85","9.90"," 0.00","1,431",
" 92/10/22","5,777,264","57,682,238","9.90","10.10","9.90","9.90"," 0.00","862",
" 92/10/23","4,422,595","43,121,994","9.80","9.90","9.65","9.70","-0.20","676",
" 92/10/24","9,211,190","90,190,124","9.70","9.90","9.70","9.70"," 0.00","1,037",
" 92/10/27","5,772,708","56,427,071","9.80","9.90","9.70","9.70"," 0.00","750",
" 92/10/28","7,712,222","75,807,180","9.80","9.90","9.75","9.80","+0.10","939",
" 92/10/29","7,977,014","79,016,678","9.90","10.05","9.80","9.85","+0.05","1,008",
" 92/10/30","7,471,354","74,336,005","9.90","10.05","9.85","9.90","+0.05","1,136",
" 92/10/31","7,399,377","73,953,648","10.00","10.10","9.90","9.90"," 0.00","1,160",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

