"106年03月 9907 統一實           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/03/01","1,360,498","20,778,864","15.35","15.40","15.20","15.20","-0.15","604",
"106/03/02","974,364","14,797,011","15.30","15.30","15.10","15.20"," 0.00","443",
"106/03/03","766,041","11,671,668","15.20","15.30","15.15","15.20"," 0.00","319",
"106/03/06","647,313","9,867,569","15.30","15.30","15.15","15.25","+0.05","345",
"106/03/07","1,014,507","15,495,778","15.30","15.30","15.20","15.30","+0.05","567",
"106/03/08","2,432,413","37,554,132","15.35","15.60","15.30","15.60","+0.30","1,004",
"106/03/09","2,510,106","39,266,189","15.65","15.90","15.45","15.50","-0.10","1,076",
"106/03/10","1,703,181","25,936,078","15.50","15.60","15.00","15.15","-0.35","689",
"106/03/13","882,285","13,396,514","15.20","15.25","15.15","15.20","+0.05","321",
"106/03/14","564,310","8,608,458","15.20","15.30","15.20","15.30","+0.10","296",
"106/03/15","874,370","13,436,458","15.35","15.40","15.30","15.35","+0.05","423",
"106/03/16","1,135,394","17,416,736","15.45","15.45","15.30","15.35"," 0.00","517",
"106/03/17","805,988","12,395,610","15.35","15.45","15.35","15.40","+0.05","303",
"106/03/20","924,115","14,236,107","15.45","15.50","15.35","15.40"," 0.00","444",
"106/03/21","1,705,888","26,407,771","15.45","15.50","15.40","15.50","+0.10","909",
"106/03/22","4,849,806","76,393,736","15.40","15.90","15.35","15.85","+0.35","1,913",
"106/03/23","4,926,682","79,615,174","16.10","16.25","16.05","16.15","+0.30","1,656",
"106/03/24","1,635,094","26,358,252","16.20","16.30","16.05","16.10","-0.05","799",
"106/03/27","2,446,740","38,636,441","16.15","16.15","15.50","15.55","-0.55","987",
"106/03/28","2,510,615","39,562,204","15.60","15.95","15.55","15.90","+0.35","1,239",
"106/03/29","1,280,651","20,166,829","15.95","15.95","15.65","15.75","-0.15","551",
"106/03/30","1,822,329","28,352,163","15.70","15.70","15.50","15.60","-0.15","586",
"106/03/31","1,131,105","17,661,379","15.60","15.70","15.50","15.70","+0.10","469",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

