"10506る 9914 笷           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"105/06/01","1,952,530","282,960,880","137.50","151.00","136.50","147.00","+9.50","1,441",
"105/06/02","1,722,206","244,094,234","145.50","146.00","139.00","139.00","-8.00","1,347",
"105/06/03","738,051","102,211,038","140.50","140.50","137.00","138.00","-1.00","590",
"105/06/04","181,154","25,465,560","138.00","141.50","138.00","141.00","+3.00","177",
"105/06/06","394,382","55,320,598","141.00","143.00","138.00","139.00","-2.00","354",
"105/06/07","849,664","120,380,124","141.00","143.00","140.00","142.00","+3.00","705",
"105/06/08","1,540,378","223,781,188","144.00","146.50","142.50","146.00","+4.00","1,196",
"105/06/13","795,979","113,624,997","143.50","145.00","140.50","143.50","-2.50","668",
"105/06/14","444,078","63,413,154","143.50","144.00","141.50","144.00","+0.50","339",
"105/06/15","369,464","52,805,352","146.00","146.00","141.50","143.00","-1.00","345",
"105/06/16","591,067","83,351,477","143.00","143.50","140.00","141.00","-2.00","515",
"105/06/17","432,400","61,565,800","142.00","143.50","140.50","142.50","+1.50","359",
"105/06/20","679,475","95,142,500","142.00","143.00","139.00","139.50","-3.00","580",
"105/06/21","598,108","83,942,400","139.50","141.50","138.50","141.00","+1.50","431",
"105/06/22","488,558","68,576,678","142.00","142.00","139.50","140.50","-0.50","461",
"105/06/23","720,659","100,598,601","140.50","141.50","138.00","138.00","-2.50","505",
"105/06/24","1,337,441","178,412,035","139.00","140.00","130.00","132.00","-6.00","791",
"105/06/27","1,559,148","202,759,332","130.50","131.50","129.50","129.50","-2.50","746",
"105/06/28","2,082,428","263,940,138","128.00","129.00","125.50","126.50","-3.00","1,234",
"105/06/29","2,769,570","359,254,530","127.50","131.50","127.50","129.50","+3.00","1,078",
"105/06/30","1,471,259","197,058,465","132.50","136.00","130.00","135.50","+6.00","1,205",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

