"106年04月 9914 美利達           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/04/05","461,033","73,429,214","160.00","160.50","158.50","159.00","-1.50","409",
"106/04/06","691,619","110,186,540","159.00","161.00","158.00","161.00","+2.00","479",
"106/04/07","1,021,112","159,490,748","161.00","161.00","152.50","154.00","-7.00","886",
"106/04/10","371,156","57,582,680","154.00","156.50","154.00","156.00","+2.00","609",
"106/04/11","933,292","146,612,539","153.50","160.50","153.50","160.50","+4.50","841",
"106/04/12","408,204","64,800,390","158.00","160.00","158.00","160.00","-0.50","341",
"106/04/13","264,015","41,803,855","159.50","159.50","157.50","158.00","-2.00","244",
"106/04/14","351,310","55,471,170","158.00","159.00","157.00","158.00"," 0.00","340",
"106/04/17","578,272","90,306,204","158.50","158.50","155.00","158.00"," 0.00","393",
"106/04/18","142,719","22,579,102","158.00","159.00","157.50","159.00","+1.00","172",
"106/04/19","280,693","44,152,158","157.00","158.00","157.00","157.00","-2.00","281",
"106/04/20","297,473","46,433,115","157.00","157.50","155.00","156.00","-1.00","312",
"106/04/21","366,201","58,089,332","155.50","160.50","155.50","160.00","+4.00","297",
"106/04/24","269,439","42,835,781","161.00","161.00","157.50","158.50","-1.50","262",
"106/04/25","335,748","53,737,180","160.50","161.00","158.50","161.00","+2.50","380",
"106/04/26","526,769","84,313,148","161.50","161.50","158.50","159.50","-1.50","478",
"106/04/27","599,241","97,080,801","159.50","163.00","159.50","162.50","+3.00","473",
"106/04/28","490,741","79,078,301","162.50","162.50","160.00","162.00","-0.50","397",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

