"10406る 9917 い玂             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/06/01","398,842","37,053,950","92.50","93.50","92.00","93.20","+1.20","380",
"104/06/02","509,884","47,682,842","93.20","93.90","92.60","93.20"," 0.00","448",
"104/06/03","373,034","34,814,848","94.00","94.00","92.30","93.50","+0.30","323",
"104/06/04","349,508","32,469,080","93.90","93.90","91.00","92.10","-1.40","323",
"104/06/05","557,350","51,290,450","92.30","93.50","90.30","93.10","+1.00","492",
"104/06/08","493,152","46,154,018","92.50","94.00","91.70","93.90","+0.80","399",
"104/06/09","374,119","34,831,557","94.00","94.00","92.00","92.10","-1.80","344",
"104/06/10","255,196","23,655,528","92.10","93.00","92.10","93.00","+0.90","256",
"104/06/11","326,174","30,449,799","92.00","93.90","92.00","93.90","+0.90","317",
"104/06/12","294,328","27,709,732","94.20","94.50","93.10","94.50","+0.60","278",
"104/06/15","656,960","62,674,670","94.50","96.30","94.40","95.80","+1.30","455",
"104/06/16","393,436","37,024,060","95.90","95.90","93.20","93.50","-2.30","351",
"104/06/17","898,604","84,109,476","93.60","95.20","92.30","94.00","+0.50","726",
"104/06/18","491,944","45,796,934","95.80","95.80","92.20","92.20","-1.80","428",
"104/06/22","374,338","35,097,204","93.30","95.00","92.40","94.80","+2.60","334",
"104/06/23","344,020","32,191,965","95.00","95.00","92.80","94.00","-0.80","322",
"104/06/24","332,890","31,122,080","94.10","94.10","92.70","94.00"," 0.00","266",
"104/06/25","542,825","50,443,438","94.00","94.00","92.50","92.60","-1.40","532",
"104/06/26","288,714","26,680,510","93.40","93.40","92.10","92.50","-0.10","291",
"104/06/29","317,335","29,300,483","92.30","92.80","91.70","92.50"," 0.00","303",
"104/06/30","442,612","41,000,327","92.00","93.40","91.80","92.80","+0.30","395",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

