"106年06月 9917 中保             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/06/01","167,309","14,878,459","89.20","89.20","88.80","89.00"," 0.00","160",
"106/06/02","367,243","32,773,919","89.10","89.50","88.90","89.30","+0.30","313",
"106/06/03","62,375","5,564,022","89.30","89.30","89.10","89.10","-0.20","50",
"106/06/05","347,674","30,962,545","89.10","89.30","88.80","89.10"," 0.00","325",
"106/06/06","481,787","42,763,543","89.00","89.10","88.50","88.80","-0.30","345",
"106/06/07","338,148","30,022,372","88.70","89.00","88.50","88.80"," 0.00","286",
"106/06/08","496,147","43,927,561","88.80","88.80","88.40","88.40","-0.40","335",
"106/06/09","428,917","37,995,913","88.40","89.10","88.20","88.90","+0.50","322",
"106/06/12","138,590","12,305,410","88.90","89.10","88.50","88.50","-0.40","144",
"106/06/13","203,875","18,122,820","88.90","89.30","88.40","89.30","+0.80","186",
"106/06/14","152,972","13,615,108","89.30","89.40","88.70","89.00","-0.30","171",
"106/06/15","158,759","14,093,812","89.20","89.20","88.50","88.50","-0.50","178",
"106/06/16","489,698","43,912,989","88.50","90.40","88.40","90.40","+1.90","403",
"106/06/19","258,877","23,334,475","90.00","90.50","89.40","90.40"," 0.00","254",
"106/06/20","157,484","14,159,760","90.30","90.30","89.70","89.70","-0.70","139",
"106/06/21","377,687","34,254,117","90.00","91.30","89.70","91.30","+1.60","364",
"106/06/22","131,247","11,910,421","91.00","91.00","90.40","90.80","-0.50","136",
"106/06/23","110,999","10,060,905","91.00","91.00","90.50","90.50","-0.30","111",
"106/06/26","340,056","31,174,547","90.50","92.30","90.50","92.20","+1.70","309",
"106/06/27","160,403","14,739,276","92.00","92.00","91.70","92.00","-0.20","156",
"106/06/28","183,296","16,806,332","91.70","92.00","91.40","91.70","-0.30","137",
"106/06/29","175,425","16,007,586","91.70","91.90","91.00","91.00","-0.70","143",
"106/06/30","144,911","13,249,425","91.00","91.80","90.80","91.70","+0.70","144",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

