"10411る 9933 い供             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/11/02","815,788","34,168,196","42.40","42.50","41.65","42.00","-0.40","521",
"104/11/03","863,022","36,909,031","42.55","43.00","42.05","42.55","+0.55","634",
"104/11/04","4,562,504","197,467,348","42.70","43.60","42.70","43.10","+0.55","1,349",
"104/11/05","1,296,032","55,760,626","43.00","43.45","42.20","43.10"," 0.00","739",
"104/11/06","1,489,959","62,896,728","43.10","43.20","41.80","42.00","-1.10","1,053",
"104/11/09","1,229,300","51,042,729","42.00","42.35","41.10","41.20","-0.80","950",
"104/11/10","1,245,199","50,640,507","41.00","41.00","40.45","40.50","-0.70","1,012",
"104/11/11","1,953,227","78,342,767","40.55","40.80","39.70","39.70","-0.80","1,431",
"104/11/12","2,439,040","96,415,577","40.00","40.55","39.00","39.15","-0.55","1,831",
"104/11/13","4,925,947","185,809,153","39.00","39.00","37.05","37.20","-1.95","3,347",
"104/11/16","6,511,508","228,798,791","34.50","36.90","33.50","36.05","-1.15","3,645",
"104/11/17","3,456,370","124,404,193","36.30","36.70","35.65","35.70","-0.35","2,306",
"104/11/18","3,450,540","126,977,143","36.20","37.30","35.70","36.95","+1.25","2,433",
"104/11/19","3,218,000","117,008,048","37.00","37.30","36.10","36.65","-0.30","2,107",
"104/11/20","2,175,361","78,869,063","36.70","36.85","35.80","36.00","-0.65","1,291",
"104/11/23","1,970,540","71,212,772","36.20","36.35","35.95","36.15","+0.15","1,193",
"104/11/24","7,787,319","295,744,448","36.85","38.70","36.85","38.10","+1.95","4,814",
"104/11/25","7,601,600","289,832,700","38.80","38.80","37.50","37.60","-0.50","4,436",
"104/11/26","2,964,226","110,869,842","37.80","38.00","37.10","37.15","-0.45","2,021",
"104/11/27","3,627,118","136,025,642","37.50","38.15","37.00","37.00","-0.15","2,426",
"104/11/30","50,745,786","1,813,702,226","36.70","36.70","34.50","36.00","-1.00","8,366",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

