"106年02月 9933 中鼎             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/02/02","3,037,900","146,649,550","49.30","49.40","47.75","47.75","-1.05","2,366",
"106/02/03","1,297,000","62,294,148","48.00","48.35","47.80","48.35","+0.60","1,109",
"106/02/06","958,078","46,321,083","48.40","48.60","48.00","48.55","+0.20","812",
"106/02/07","903,584","43,747,441","48.50","48.70","48.25","48.40","-0.15","857",
"106/02/08","1,857,888","90,983,662","48.90","49.20","48.35","49.10","+0.70","1,489",
"106/02/09","1,849,258","91,001,965","49.30","49.50","48.60","49.40","+0.30","1,586",
"106/02/10","612,959","30,304,719","49.65","49.75","49.15","49.35","-0.05","495",
"106/02/13","1,504,478","74,953,278","49.35","49.95","49.20","49.90","+0.55","1,242",
"106/02/14","2,303,517","115,613,948","50.20","50.50","49.50","50.50","+0.60","1,537",
"106/02/15","3,001,276","151,905,333","50.30","51.00","50.10","50.70","+0.20","1,756",
"106/02/16","3,118,835","159,887,419","51.20","51.50","50.90","51.50","+0.80","1,635",
"106/02/17","2,864,175","146,802,625","51.50","51.70","51.00","51.10","-0.40","1,766",
"106/02/18","548,374","28,265,545","51.10","51.70","51.10","51.60","+0.50","349",
"106/02/20","658,574","33,907,013","51.90","51.90","51.10","51.20","-0.40","541",
"106/02/21","1,135,748","58,128,548","51.20","51.60","50.80","51.30","+0.10","846",
"106/02/22","806,955","41,386,187","51.40","51.60","51.10","51.50","+0.20","670",
"106/02/23","1,021,977","52,139,728","51.50","51.50","50.80","50.90","-0.60","786",
"106/02/24","1,401,410","71,306,326","50.90","51.00","50.50","50.90"," 0.00","727",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

