"9606る 9938 κ㎝             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 96/06/01","636,796","19,135,659","30.05","30.20","29.95","30.00","-0.05","198",
" 96/06/04","773,060","23,355,645","30.20","30.50","30.00","30.10","+0.10","262",
" 96/06/05","2,165,251","65,942,525","30.15","30.85","30.10","30.75","+0.65","511",
" 96/06/06","1,887,400","58,204,699","31.00","31.05","30.50","30.65","-0.10","567",
" 96/06/07","731,645","22,401,768","30.65","30.85","30.35","30.40","-0.25","286",
" 96/06/08","1,281,820","38,867,112","30.40","30.70","30.05","30.25","-0.15","408",
" 96/06/11","831,236","25,161,440","30.50","30.50","30.15","30.20","-0.05","314",
" 96/06/12","2,864,849","87,848,069","30.50","31.15","30.10","31.15","+0.95","959",
" 96/06/13","12,582,123","410,684,035","31.45","33.30","31.20","33.30","+2.15","3,289",
" 96/06/14","18,953,645","670,210,030","35.55","35.60","34.10","34.10","+0.80","3,683",
" 96/06/15","5,195,474","178,715,396","34.50","35.00","33.60","34.70","+0.60","1,595",
" 96/06/20","3,569,480","123,909,270","34.70","35.15","34.20","34.20","-0.50","1,132",
" 96/06/21","3,060,079","104,530,586","34.20","34.60","33.75","34.10","-0.10","825",
" 96/06/22","1,839,793","63,292,063","34.25","34.70","34.10","34.40","+0.30","684",
" 96/06/23","1,825,227","63,000,079","34.40","34.85","34.25","34.40"," 0.00","632",
" 96/06/25","3,812,498","133,758,374","34.50","35.65","34.50","34.90","+0.50","1,292",
" 96/06/26","3,660,100","128,683,382","35.20","36.00","34.40","34.85","-0.05","1,088",
" 96/06/27","10,125,816","364,233,780","34.85","37.25","34.40","37.25","+2.40","2,397",
" 96/06/28","16,847,372","647,260,686","37.50","39.75","36.80","39.70","+2.45","3,790",
" 96/06/29","22,131,567","883,250,989","39.90","40.70","39.25","40.00","+0.30","5,124",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

