"107年01月 9938 百和             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/01/02","461,635","55,616,700","120.50","121.00","119.50","121.00"," 0.00","382",
"107/01/03","936,261","116,012,125","121.00","126.50","121.00","126.00","+5.00","611",
"107/01/04","865,906","108,590,250","126.00","126.50","123.50","126.00"," 0.00","711",
"107/01/05","802,892","99,990,554","126.00","126.00","123.00","125.00","-1.00","611",
"107/01/08","326,791","40,066,603","125.00","125.50","121.00","121.50","-3.50","227",
"107/01/09","1,135,711","139,561,953","120.00","125.00","119.00","123.00","+1.50","908",
"107/01/10","3,208,383","411,556,947","123.00","130.50","122.00","127.00","+4.00","2,196",
"107/01/11","1,936,096","252,154,384","128.00","133.00","128.00","130.00","+3.00","1,333",
"107/01/12","1,258,634","161,253,833","128.50","132.00","125.00","128.00","-2.00","967",
"107/01/15","674,987","84,889,866","128.50","128.50","125.00","125.00","-3.00","519",
"107/01/16","6,025,543","688,495,859","119.00","119.00","112.50","112.50","-12.50","3,563",
"107/01/17","4,515,516","485,301,967","109.00","111.00","106.00","107.00","-5.50","3,197",
"107/01/18","3,319,928","357,285,796","107.50","109.50","106.00","106.50","-0.50","2,486",
"107/01/19","2,856,694","297,981,564","106.50","106.50","102.00","105.00","-1.50","2,080",
"107/01/22","1,827,720","195,956,040","105.50","109.00","105.00","106.50","+1.50","1,259",
"107/01/23","1,164,477","122,844,585","105.50","107.00","104.50","105.00","-1.50","1,000",
"107/01/24","1,259,458","134,275,506","105.00","107.50","105.00","106.50","+1.50","694",
"107/01/25","3,365,998","342,202,997","107.00","107.00","99.50","99.80","-6.70","2,475",
"107/01/26","2,996,738","297,040,305","99.80","101.00","98.00","99.00","-0.80","2,323",
"107/01/29","2,048,944","199,813,456","100.00","100.00","96.30","97.10","-1.90","1,742",
"107/01/30","1,604,585","160,615,589","97.50","101.50","97.50","100.50","+3.40","1,264",
"107/01/31","732,393","73,058,593","101.00","101.00","99.10","100.50"," 0.00","639",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

