"93年03月 9941 裕融             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 93/03/01","438,333","14,715,258","33.80","33.80","33.30","33.50","-0.10","119",
" 93/03/02","316,699","10,655,581","33.70","33.80","33.50","33.70","+0.20","112",
" 93/03/03","705,117","23,759,223","33.70","34.50","33.10","34.00","+0.30","239",
" 93/03/04","269,665","9,149,923","34.00","34.10","33.70","34.00"," 0.00","123",
" 93/03/05","1,804,021","62,977,008","34.20","35.50","34.10","35.00","+1.00","543",
" 93/03/08","685,423","23,998,646","35.00","35.30","34.50","34.50","-0.50","295",
" 93/03/09","612,393","21,399,839","35.00","35.30","34.50","35.20","+0.70","205",
" 93/03/10","350,871","12,233,701","35.30","35.30","34.40","34.90","-0.30","153",
" 93/03/11","801,569","27,360,052","34.50","34.80","33.90","34.30","-0.60","248",
" 93/03/12","195,954","6,676,195","34.00","34.30","33.80","34.20","-0.10","107",
" 93/03/15","460,068","15,812,970","34.10","35.00","33.80","33.80","-0.40","165",
" 93/03/16","362,714","12,147,296","33.60","33.90","33.20","33.30","-0.50","184",
" 93/03/17","602,179","20,249,474","33.30","34.00","33.30","33.40","+0.10","170",
" 93/03/18","530,959","17,775,894","33.30","34.00","33.00","33.60","+0.20","237",
" 93/03/19","475,389","15,872,362","33.50","33.60","33.20","33.30","-0.30","165",
" 93/03/22","217,456","6,742,104","31.00","31.00","31.00","31.00","-2.30","92",
" 93/03/23","563,012","16,857,069","29.00","31.50","29.00","30.70","-0.30","161",
" 93/03/24","336,000","10,252,900","30.70","31.00","29.80","30.70"," 0.00","148",
" 93/03/25","242,260","7,447,340","30.70","31.20","30.50","31.00","+0.30","99",
" 93/03/26","414,831","12,720,863","31.00","31.10","30.50","30.50","-0.50","140",
" 93/03/29","369,540","11,633,022","31.00","31.80","31.00","31.70","+1.20","152",
" 93/03/30","191,146","6,038,643","31.70","31.80","31.40","31.80","+0.10","74",
" 93/03/31","317,374","10,125,070","31.80","32.00","31.60","31.60","-0.20","105",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

