"94年06月 9945 潤泰新           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 94/06/01","1,801,001","11,806,486","6.48","6.65","6.48","6.49","+0.04","262",
" 94/06/02","1,429,882","9,355,368","6.55","6.58","6.51","6.54","+0.05","183",
" 94/06/03","9,684,000","66,779,910","6.55","6.99","6.55","6.99","+0.45","902",
" 94/06/06","21,901,202","159,841,655","7.07","7.47","7.05","7.21","+0.22","2,052",
" 94/06/07","12,992,802","94,919,023","7.30","7.46","7.13","7.27","+0.06","1,549",
" 94/06/08","30,339,414","230,927,139","7.47","7.77","7.35","7.77","+0.50","2,826",
" 94/06/09","29,300,148","234,276,099","7.94","8.20","7.60","7.60","-0.17","3,283",
" 94/06/10","24,759,515","197,574,720","7.70","8.13","7.70","8.11","+0.51","2,484",
" 94/06/13","22,110,141","190,243,372","8.50","8.67","8.40","8.67","+0.56","2,215",
" 94/06/14","53,666,368","474,309,616","8.98","9.23","8.28","8.41","-0.26","5,770",
" 94/06/15","28,158,633","241,534,370","8.50","8.78","8.30","8.55","+0.14","3,870",
" 94/06/16","20,074,156","172,669,660","8.60","8.80","8.41","8.41","-0.14","2,918",
" 94/06/17","13,068,205","109,927,629","8.41","8.58","8.15","8.15","-0.26","2,120",
" 94/06/20","7,768,599","63,729,718","8.20","8.34","8.11","8.15"," 0.00","1,194",
" 94/06/21","6,417,036","52,969,658","8.20","8.32","8.16","8.20","+0.05","1,085",
" 94/06/22","13,366,940","112,902,858","8.32","8.56","8.26","8.36","+0.16","1,964",
" 94/06/23","12,006,700","100,075,353","8.38","8.50","8.15","8.20","-0.16","1,745",
" 94/06/24","32,507,737","277,907,093","8.20","8.77","8.12","8.63","+0.43","4,141",
" 94/06/27","17,707,159","154,584,627","8.63","8.82","8.62","8.65","+0.02","2,486",
" 94/06/28","14,012,000","117,338,920","8.65","8.69","8.20","8.23","-0.42","2,166",
" 94/06/29","11,086,300","92,336,423","8.25","8.47","8.19","8.37","+0.14","1,970",
" 94/06/30","9,773,460","82,334,443","8.41","8.58","8.29","8.37"," 0.00","1,545",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

