,證券代號,證券名稱
0,0050,元大台灣50
1,0051,元大中型100
2,0052,富邦科技
3,0053,元大電子
4,0054,元大台商50
5,0055,元大MSCI金融
6,0056,元大高股息
7,0057,富邦摩台
8,0058,富邦發達
9,0059,富邦金融
10,0061,元大寶滬深
11,006203,元大MSCI台灣
12,006204,永豐臺灣加權
13,006205,富邦上証
14,006206,元大上證50
15,006207,FH滬深
16,006208,富邦台50
17,00625K,富邦上証+R
18,00631L,元大台灣50正2
19,00632R,元大台灣50反1
20,00633L,富邦上証正2
21,00634R,富邦上証反1
22,00635U,元大S&P黃金
23,00636,國泰中國A50
24,00636K,國泰中國A50+U
25,00637L,元大滬深300正2
26,00638R,元大滬深300反1
27,00639,富邦深100
28,00640L,富邦日本正2
29,00641R,富邦日本反1
30,00642U,元大S&P石油
31,00643,群益深証中小
32,00643K,群益深証中小+R
33,00645,富邦日本
34,00646,元大S&P500
35,00647L,元大S&P500正2
36,00648R,元大S&P500反1
37,00649,FH香港
38,00650L,FH香港正2
39,00651R,FH香港反1
40,00652,富邦印度
41,00653L,富邦印度正2
42,00654R,富邦印度反1
43,00655L,國泰中國A50正2
44,00656R,國泰中國A50反1
45,00657,國泰日經225
46,00657K,國泰日經225+U
47,00658L,國泰日本正2
48,00659R,國泰日本反1
49,00660,元大歐洲50
50,00661,元大日經225
51,00662,富邦NASDAQ
52,00663L,國泰臺灣加權正2
53,00664R,國泰臺灣加權反1
54,00665L,富邦恒生國企正2
55,00666R,富邦恒生國企反1
56,00668,國泰美國道瓊
57,00668K,國泰美國道瓊+U
58,00669R,國泰美國道瓊反1
59,00670L,富邦NASDAQ正2
60,00671R,富邦NASDAQ反1
61,00672L,元大S&P原油正2
62,00673R,元大S&P原油反1
63,00674R,元大S&P黃金反1
64,00675L,富邦臺灣加權正2
65,00676R,富邦臺灣加權反1
66,00677U,富邦VIX
67,00678,群益NBI生技
68,00680L,元大美債20正2
69,00681R,元大美債20反1
70,00682U,元大美元指數
71,00683L,元大美元指數正2
72,00684R,元大美元指數反1
73,00685L,群益臺灣加權正2
74,00686R,群益臺灣加權反1
75,00688L,國泰20年美債正2
76,00689R,國泰20年美債反1
77,00690,兆豐藍籌30
78,00691R,兆豐藍籌30反1
79,00692,富邦公司治理
80,00693U,華頓S&P黃豆
81,00700,富邦恒生國企
82,00701,國泰臺灣低波動30
83,00702,國泰標普低波高息
84,00703,台新MSCI中國
85,00706L,元大S&P日圓正2
86,00707R,元大S&P日圓反1
87,00708L,元大S&P黃金正2
88,00709,富邦歐洲
89,00710B,FH彭博高收益債
90,00711B,FH彭博新興債
91,00712,FH富時不動產
92,00713,元大台灣高息低波
93,00714,群益道瓊美國地產
94,00715L,華頓S&P布蘭特正2
95,00716R,華頓S&P布蘭特反1
96,00717,富邦美國特別股
97,00728,第一金工業30
98,00729R,第一金工業30反1
99,00730,富邦臺灣優質高息
100,00731,FH富時高息低波
